,index,entities,labels,size
656,948,ecosystem.75,ORG,1
657,928,around 1–3 percent,PERCENT,1
658,930,as much as 80 percent,PERCENT,1
659,931,between,DATE,1
660,932,"between 5 to
",DATE,1
661,1081,the World Bank,ORG,1
662,1079,the United Nations,ORG,1
663,935,build.27,ORG,1
664,936,certain.28,ORG,1
665,937,cheapest mobile data,ORG,1
666,938,cities.93,ORG,1
667,1077,the US Department of Transportation,ORG,1
668,939,constellation,PRODUCT,1
669,1075,the McKinsey Center for Future Mobility.116,ORG,1
670,941,digital,ORG,1
671,1074,the International Labor Organization,ORG,1
672,942,digital              partners,ORG,1
673,943,domains.108 China,LOC,1
674,944,dozens,CARDINAL,1
675,1073,"the Cisco Visual Networking
       ",ORG,1
676,1071,"the Cisco Visual
       Networking",ORG,1
677,946,"each
     year",DATE,1
678,947,each year,DATE,1
679,929,as much as $35 billion to $55 billion,MONEY,1
680,927,around 1 billion,CARDINAL,1
681,905,a third,CARDINAL,1
682,926,"areas.90




     ",DATE,1
683,906,"a three-
year timeframe",DATE,1
684,907,a yearly,DATE,1
685,908,about $5 billion to $10 billion,MONEY,1
686,909,about 10 percent,PERCENT,1
687,1086,the decade,DATE,1
688,910,about 80 percent,PERCENT,1
689,911,about eight months,DATE,1
690,912,about two to four years,CARDINAL,1
691,913,above 11 years of age,DATE,1
692,914,access.63,CARDINAL,1
693,915,ahead.92,ORG,1
694,916,almost 30 percent,PERCENT,1
695,917,almost one third,CARDINAL,1
696,1084,the cheapest 4,ORG,1
697,921,another three to four years,DATE,1
698,1083,the World Wide Web,ORG,1
699,922,any hour,TIME,1
700,923,approximately 80 percent,PERCENT,1
701,924,approximately 93 percent,PERCENT,1
702,1082,the World Bank’s,ORG,1
703,925,approximately half,CARDINAL,1
704,707,Molly Ahearn,PERSON,1
705,574,Hundreds,CARDINAL,1
706,705,Million,CARDINAL,1
707,247,409,CARDINAL,1
708,231,"39
                                                  ",MONEY,1
709,232,3G,NORP,1
710,233,3G,PRODUCT,1
711,234,3rd,ORDINAL,1
712,235,3–5,CARDINAL,1
713,237,4,DATE,1
714,238,4.0,CARDINAL,1
715,239,4.4,CARDINAL,1
716,241,4.5 percent,PERCENT,1
717,244,40 to 45 percent,PERCENT,1
718,246,400 million,CARDINAL,1
719,248,40–45,ORG,1
720,226,35–45%,PERCENT,1
721,249,40–45                                            ,ORG,1
722,252,42,DATE,1
723,253,42 billion,MONEY,1
724,255,"43
",DATE,1
725,256,43 percent,PERCENT,1
726,257,44,CARDINAL,1
727,260,450 million,CARDINAL,1
728,266,4G/LTE                                                                             ,ORG,1
729,268,5,ORDINAL,1
730,270,5 to 10 percent,PERCENT,1
731,271,5%,PERCENT,1
732,227,36,CARDINAL,1
733,225,35 percent,PERCENT,1
734,173,2030.65,CARDINAL,1
735,194,279,CARDINAL,1
736,175,20–25,ORG,1
737,176,20–25,PRODUCT,1
738,177,20–30,PRODUCT,1
739,178,20–30 percent,PERCENT,1
740,181,21.0,CARDINAL,1
741,183,22,DATE,1
742,186,24 GHz,QUANTITY,1
743,188,25,DATE,1
744,189,25 percent,PERCENT,1
745,190,"250,000",CARDINAL,1
746,191,25–30,PRODUCT,1
747,197,"284, July 2019",DATE,1
748,220,31,DATE,1
749,198,29,CARDINAL,1
750,199,29,DATE,1
751,203,"3
%",PERCENT,1
752,204,3 to 4 percent,PERCENT,1
753,206,3-D bin picking,PERSON,1
754,207,3.0,CARDINAL,1
755,209,3.7,CARDINAL,1
756,212,30 percent,PERCENT,1
757,215,"300
          ",QUANTITY,1
758,216,300 Mbps,QUANTITY,1
759,217,300 million,CARDINAL,1
760,273,5.5,CARDINAL,1
761,275,5.5 to 6 percent,PERCENT,1
762,276,5.7,CARDINAL,1
763,366,88,CARDINAL,1
764,348,800 million,CARDINAL,1
765,349,80–85,CARDINAL,1
766,351,80–85,PRODUCT,1
767,353,"81


",PERCENT,1
768,356,83,DATE,1
769,358,84,DATE,1
770,359,84.51,CARDINAL,1
771,360,84.51°,QUANTITY,1
772,363,"86


",DATE,1
773,364,87,CARDINAL,1
774,365,87,DATE,1
775,371,90%,PERCENT,1
776,280,50 to 200 Mbps,QUANTITY,1
777,373,91,CARDINAL,1
778,376,94,CARDINAL,1
779,379,95%,PERCENT,1
780,380,96,CARDINAL,1
781,382,98,CARDINAL,1
782,387,A4AI,ORG,1
783,388,A4AI,PERSON,1
784,392,ARPU,ORG,1
785,394,Abhiram Ramprasad,PERSON,1
786,395,Accelerating the car data monetization journey,WORK_OF_ART,1
787,396,Acha Leke,PERSON,1
788,345,8 percent,PERCENT,1
789,344,8                                     ,ORG,1
790,341,77,CARDINAL,1
791,340,76,DATE,1
792,281,50 to 300 Mbps,QUANTITY,1
793,282,50 to 55 percent,PERCENT,1
794,286,"52
                    40",DATE,1
